,x1,x2,x3,x4,x5,x6,x7,x8,class
280,5.49,16.41,4.22,2,1.71,1.69,0.4,0.19,0
281,1.22,15.59,4.01,1.89,3.56,0.97,0.27,0.22,1
282,9.83,49.13,6.35,2.46,4.09,2.69,1.24,0.69,1
283,2.45,7.35,2.45,1.53,2.82,0.92,0.34,0.11,0
284,3.67,9.79,4.59,1.84,3.06,1.64,0.38,0.18,1
285,1.59,9.53,3.18,2.38,2.54,1.31,0.41,0.2,0
286,2.48,19.01,2.61,1.06,2.12,1.63,0.34,0.3,0
287,19,77.5,8,5,6,4.14,1.72,1.31,1
288,6.49,25.94,7.26,2.33,3.89,2.44,1.05,0.64,1
289,1.35,7.35,3.67,1.29,3.06,1.22,0.39,0.18,0
290,17.5,55,10.76,3,5,4.5,3.25,1.7,0
291,3.67,10.41,4.16,2.63,4.28,1.93,0.43,0.16,0
292,2.45,7.96,3.98,2.45,3.67,0.84,0.31,0.12,0
293,5.71,20.76,4.51,1.82,2.08,3.37,0.74,0.52,0
294,3.56,68.97,2.9,1,0.5,1.98,0.91,0.47,1
295,15,62.5,8.25,5,6,4.43,2.11,1.56,1
296,14.17,47.5,12.35,1.66,5.94,4.58,1.3,0.85,1
297,1.84,12.24,3.67,1.59,2.45,1.15,0.26,0.13,0
298,5.5,17.81,4,0.57,1.08,1.46,0.61,0.35,1
299,6.5,36.1,5.05,2.89,5.05,3.25,0.99,0.77,0
300,15,60,10,4.5,5.5,4.78,2.12,1.83,1
301,8.5,35,8,1,1.7,1.25,1,1,0
302,4.33,21.66,4.98,2.6,3.25,1.08,1.21,0.94,0
303,1.58,9.24,3.38,0.79,1.06,1,0.31,0.23,0
305,2.45,15.92,2.94,0.98,4.28,0.73,0.44,0.14,0
306,6.03,26.39,6.03,2.45,4.52,3.14,1.41,0.84,0
307,15.58,62.32,9.35,4.15,4.15,3.53,3.14,2.88,1
308,9.83,39.3,5.73,1.31,1.97,2.82,0.94,0.58,1
309,3.35,24.22,5.59,1.68,1.58,1.24,0.85,0.53,0
310,5.28,52.77,6.63,3.02,3.2,4.77,1.03,0.75,0
311,6.14,43.31,5.41,3.07,5.05,3.34,1.11,0.88,1
312,0.68,13.52,3.38,0.48,0.9,1.46,0.3,0.17,0
313,4.46,19.93,3.52,0.81,1.35,1.09,0.49,0.31,1
314,10,50,10,1.5,2.25,1.74,1.07,0.81,0
315,8.17,54.45,8.17,10.89,10.89,4.83,0.85,0.3,1
316,23,80,10,6.5,7,5.75,2.37,2,1
317,7.78,53.19,5.19,2.08,2.72,2.38,0.87,0.8,1
318,16,70,10,6,8,4.5,1.56,1.3,0
320,5.19,38.96,6.49,10.39,10.39,4.88,0.9,0.3,1
321,3.06,14.84,3.67,1.84,2.47,1.69,0.38,0.24,1
322,4.4,29.35,4.4,1.47,2.2,2.1,0.74,0.35,1
323,4.38,27.95,6.5,1.12,2.05,1.53,0.81,0.41,1
324,1.4,7.49,4.68,4.68,8.19,1.01,0.27,0.2,0
325,2.02,8.88,4.16,1.84,1.84,1.51,0.43,0.16,1
326,20.77,83.1,9.61,6.23,5.19,1.84,2.73,1.3,1
327,15,50,8.5,4.75,6,4.14,2.28,1.94,1
328,15.53,74.56,9.32,6.52,6.99,3.47,2.38,2.06,1
329,7.96,31.86,7.08,2.21,2.65,1.86,1.8,1.22,1
330,3.06,12.24,3.67,6.12,4.59,1.01,0.37,0.4,1
331,5,20,5.74,1.5,2.5,1.5,1.02,0.9,1
332,1.27,9.53,3.18,2.03,2.86,1.75,0.49,0.25,0
333,2.45,11.02,3.98,1.96,2.94,1.68,0.43,0.18,0
334,14,53.47,10.18,3.06,3.82,3.88,1.8,1.42,1
335,12.41,67.06,8.53,5.36,6.44,3.36,2.48,1.8,1
336,4.69,36.1,4.33,2.53,3.97,2.79,1.11,0.85,0
337,4.2,25.02,6.44,5,4.2,0.9,0.33,0.21,0
338,5.12,18.63,5.22,1.49,2.8,1.44,0.89,0.56,0
339,5.71,25.94,5.45,1.56,2.59,2.33,0.89,0.54,0
340,3.06,16.3,5.1,1.02,1.53,0.98,0.53,0.4,1
341,10.62,37.17,6.37,1.86,2.65,1.89,1.22,0.83,1
342,3.06,7.35,3.06,2.02,3.67,1.99,0.44,0.16,1
343,5.59,40.51,5.59,1.12,4.19,3.49,0.52,0.32,0
344,7.32,29.28,4.1,1.17,2.34,1.76,1.07,0.69,0
345,7.91,40.94,6.22,4.09,3.28,2.35,1.21,0.87,1
346,3.38,39.43,5.63,1.13,1.58,2.14,0.52,0.25,1
347,5.45,19.06,6.81,6.81,6.81,4.63,0.78,0.31,1
348,10.23,40.94,5.73,1.29,2.86,2.44,1.06,0.57,1
349,4.28,12.24,3.06,1.71,2.2,1.35,0.39,0.16,0
350,13.1,32.75,4.91,2.46,2.21,1.97,0.96,0.53,1
351,18.61,63.28,8.93,5.21,5.96,3.72,1.75,1.52,1
352,6.03,36.19,4.33,1.88,2.83,3.11,1.21,0.64,0
353,24,72.5,9.75,6,8,4.25,2.06,1.7,0
354,1.84,13.88,5.31,1.71,1.76,1.82,0.54,0.73,0
355,2.53,45,7.68,1.83,2.74,2.03,0.71,0.67,0
356,3.63,24.44,5.73,0.84,2.03,3.49,0.42,0.24,0
357,3.06,8.02,3.06,1.84,3.37,1.56,0.35,0.18,0
358,1.62,16.16,2.63,0.7,1.9,0.81,0.57,0.32,0
359,2.94,15,5.41,1.19,1.8,2.05,0.59,0.37,0
360,3.14,18.86,4.89,0.77,1.4,3.49,0.4,0.28,0
361,3.35,22.36,5.59,0.84,1.86,0.84,0.84,0.56,0
