,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,class
297,0.5,0.51,0.53,0.57,5.28,0.92,1.3,4.65,0.5,13.21,0.53,1
298,2.78,2.43,1.62,3,9,1.79,3.25,7.5,1.5,34,2.5,0
299,2.14,1.88,2.5,4.69,11.4,4.06,3.38,30.18,2.62,100.59,1.94,1
300,0.46,0.38,0.27,0.22,4.63,0.98,0.73,2.16,0.22,9.27,0.31,0
301,1.64,1.2,1.09,1.01,4.65,1.31,2.74,4.93,0.49,26.27,0.44,0
302,0.93,0.83,1.07,0.49,7.03,0.74,1,2.14,0.41,18.15,1.23,0
303,1.94,1.4,1.05,1.14,7.21,1.69,2.93,12.79,2.58,60.06,3.6,1
304,1.27,0.97,0.72,0.9,7.21,1.8,2.32,14.29,3.6,69.67,3.6,0
305,0.88,0.9,1.08,0.75,6.75,1.35,2.25,4.78,1.19,20.77,3.64,1
306,1.55,1.91,0.97,2,10.5,0.8,1.82,5.75,0.5,30,1.5,0
307,2.08,2.16,1.04,0.83,7.27,2.08,2.98,10.39,1.56,39.47,2.29,0
308,0.37,0.55,0.34,0.31,7.96,1.53,2.86,3.55,0.37,15.97,0.37,0
309,3.68,2.09,1.44,0.92,10.83,2.38,3.06,4.11,1.73,36.1,4.01,1
310,0.69,0.53,0.8,0.46,5.31,0.69,1.14,3.08,0.8,30.8,0.8,0
311,0.92,1.07,0.84,0.8,4.15,1.17,2.08,5.3,1.66,31.16,3.56,1
312,0.82,1.64,1.67,0.85,11.17,2.02,2.05,8.19,2.42,54.35,2.51,0
313,1.73,2.44,1.32,0.75,8.31,3.12,2.6,10.39,1.45,54.01,2.08,1
314,0.84,0.98,0.84,1.05,6.01,2.1,3.8,14.41,2.64,66.06,2.64,0
315,1.35,1.74,0.78,1.18,9.61,2.4,1.88,13.21,6.01,120.12,3.6,0
316,2.24,2.42,1.78,1.75,12,2.14,2.8,10.25,1.88,50,3.5,0
317,1.36,1.51,0.84,1.46,10.21,3.1,3.8,14.41,2.46,58.96,2.64,1
318,1.81,1.27,0.83,0.66,3.9,0.64,1.27,5.19,1.19,22.85,3.51,0
319,1.87,1.87,1.06,0.41,6.75,1.95,2.08,10.39,1.71,43.63,2.18,0
320,1.86,2.26,2.1,1.15,14.79,2.93,3.51,8.98,3.91,78.2,7.19,1
321,0.93,0.72,1.46,0.7,9.83,1.11,2.09,2.87,0.46,24.56,1.23,0
322,2.03,1.81,2.28,1.82,13.4,2.84,3.66,12.66,1.86,52.12,2.7,1
323,1.25,1.05,0.81,1.31,9.31,2.88,3.13,15.32,3.3,75.07,3.42,1
324,0.65,0.77,0.8,0.44,4.44,0.74,0.96,4,1.11,26.66,1.56,0
325,2.2,0.73,1.71,1.77,11.17,3.16,4.28,16.01,1.68,38.72,2.53,0
326,0.57,0.48,0.48,0.54,4.4,1.01,1.1,2.82,0.26,8.81,2.64,1
327,1.76,2.66,1.04,1.43,7.27,1.82,2.83,9.87,1.97,78.11,2.49,0
328,0.77,0.86,1.66,0.32,3.32,0.7,1.08,4.88,1.28,23.65,2.3,1
329,2.51,2.17,1.48,1.78,12,1.86,3.75,9.75,4,62,3,0
330,4.07,4.59,2.66,2.35,15,1.86,3.67,10,3.5,27.5,7,0
331,0.33,0.44,0.56,0.38,4,0.67,1.11,3.67,0.8,33.32,1.33,0
332,0.49,0.51,0.31,0.31,3.67,1.63,2.14,1.47,0.12,12.24,1.1,0
333,1.66,2.16,1.21,0.2,7.27,2.08,2.98,10.39,1.61,46.74,2.6,0
334,0.53,0.74,0.74,0.43,4.33,0.82,1.11,4,0.67,19.99,1.33,0
335,1.25,3.2,1.96,1.46,14.89,1.86,1.86,13.4,2.23,89.34,3.11,1
336,1.4,1.2,1.07,1.26,10.34,2.39,3.28,10.2,1.75,62.05,3.29,1
337,2.85,2.77,2.77,2.28,13.41,4.33,4.86,26.15,2.01,42.57,3.76,1
338,2.7,0.96,0.93,0.86,5.19,0.68,1.16,8.31,2.8,60.76,3.32,1
339,1.69,1.82,1.3,0.77,6.02,1.11,1.63,5.71,1.56,44.14,4.15,1
340,1.36,2.77,2.45,0.53,7.07,0.97,1.83,2.3,0.35,8.84,0.27,0
341,3.49,2.71,1.59,2,15,2.79,3.44,8.5,3.5,45,3,0
342,1.56,2.05,1.38,1.5,12.46,2.9,2.84,9.24,3.12,56.09,8.31,1
343,0.84,0.95,0.47,0.52,6.89,1.06,2.24,2.8,0.84,18.63,0.75,0
344,1.15,1.22,1.23,0.8,4.15,1.04,2.04,5.19,1.56,41.55,2.08,0
345,1.09,1.09,0.77,1.09,4.38,1.64,2.74,4.93,0.55,21.9,0.6,0
346,1.04,1.62,1.55,0.35,4.41,1.26,2.75,5.19,2.08,38.95,3.69,0
347,1.83,2.08,1.49,0.69,7.79,2.19,1.42,10.65,1.45,41.55,2.6,0
348,0.49,0.62,0.72,0.66,5.28,0.81,1.03,4.65,0.42,17.96,0.63,1
349,1,0.92,0.78,0.58,6.22,1.24,1.6,8.31,3.32,59.73,3.22,1
350,0.44,0.4,0.32,0.24,5.78,1.19,1.59,2.02,0.18,10.83,1.26,0
351,0.67,0.38,0.72,0.49,1.56,1.03,0.76,2,0.29,15.03,0.78,0
352,1.71,1.52,1.21,0.29,3.12,3.12,2.39,5.61,1.3,33.24,2.6,0
353,1.05,1.04,0.81,1.17,8.41,2.58,2.18,15.62,3.24,98.2,3.36,1
354,1.92,1.86,2.37,1.84,10.06,2.91,3.86,25.15,2.68,26.82,3.02,0
355,0.62,0.24,0.4,0.29,1.3,0.6,1.2,2,0.15,7,0.39,0
356,2.17,1.66,2.38,1.46,9.32,2.57,3.26,22.06,1.69,55.92,1.86,1
357,1.51,1.58,1.17,1,10,1.5,2.12,7.75,1,30,1.65,0
358,1.46,1.31,1.46,0.95,10.2,2.62,2.82,10.2,1.75,30.59,8.74,0
359,2.1,4.09,2.49,1.53,11.91,2.53,2.71,8.19,2.61,56.03,2.51,0
360,0.88,1.01,1.01,0.62,7.17,1.26,2.08,5.3,1.77,56.09,2.23,0
361,0.49,0.22,0.58,0.22,3.61,1.44,0.9,1.52,0.11,19.5,0.72,0
362,1.51,1.33,1.81,1.06,14.57,2.5,4.08,11.07,1.7,67,8.16,1
363,2.09,1.73,1.54,1.47,12.99,1.43,2,5.87,1,30,4,0
364,0.99,1.04,0.88,0.42,5.71,0.88,2.08,5.71,1.04,20.77,2.6,0
365,1.59,1.38,1.2,0.53,6.49,1.08,1.18,5.92,2.8,54.01,6.65,1
366,0.78,0.8,1.07,0.29,3.83,0.68,0.8,5.11,0.64,21.09,2.05,1
367,2.41,2.62,1.19,1,10,1.43,1.1,5.45,1.62,15,2.5,0
368,1,0.81,0.68,0.27,6.78,1.08,1.76,4.34,0.41,12.2,0.27,0
369,2.41,3.31,2,1.75,15,1.79,2.33,9,3.5,50,2.5,0
370,1.12,1.59,0.78,0.76,2.58,0.86,1.33,2.36,1.45,56.1,0.54,0
371,2.13,2.94,2.21,2.48,13.57,3.74,5.43,14.58,4.07,60.32,14.58,1
372,1.27,1.04,0.78,0.42,4.67,1.25,2.34,5.71,1.56,31.16,7.53,0
373,2.45,2.61,2.07,1.9,13.4,2.37,2.33,11.17,2.23,59.56,2.23,1
374,1.01,0.81,1.03,0.93,6.19,1.3,1.58,4.75,1.65,41.27,3.44,1
375,0.95,0.79,0.32,0.61,3.96,0.95,1.27,0.87,0.4,11.88,0.4,0
376,4.04,6.83,1.75,2.67,10,1.21,3,10.5,1.5,20,2.95,0
377,0.49,0.48,0.73,0.32,5.36,1.64,1.83,1.8,0.35,16.09,0.64,1
378,3.15,3.52,1.64,1.65,11,1.43,2.08,9.5,1.5,28,2.75,0
379,0.33,0.44,0.78,0.48,4,0.71,1.06,4,0.89,21.99,1.56,0
380,1.1,0.93,0.83,0.65,6.22,1.24,1.84,8.31,3.12,51.93,4.54,1
381,1.24,0.95,0.77,0.51,16.86,1.73,2.9,3.16,0.28,14.05,1.12,0
382,4.59,5.92,2.28,2.87,12.37,5.71,2.75,10.75,2.25,63,3.25,0
383,2.26,2.62,1.1,2.77,10.91,1.82,3.9,10.39,1.56,31.16,2.16,1
384,1.62,1.59,2.86,1.91,9.05,1.75,2.14,6.29,2.76,60.01,4.52,1
385,2.18,1.54,1.69,1.6,10.52,2.32,2.58,11.17,2.61,67.01,2.98,0
386,2.08,1.24,1.73,0.72,5.19,0.71,1.35,6.96,2.91,59.98,4.67,1
387,1.53,1.27,0.51,1.15,3.06,2.29,2.04,3.56,1.27,45.83,1.53,0
388,0.38,0.37,0.61,0.35,2.57,0.72,1.12,1.61,0.23,5.41,1.35,0
389,1.12,0.89,0.83,0.9,5.01,1.25,1.78,8.52,6.23,129.84,4.15,0
390,0.83,0.78,1.61,0.66,7.91,1.09,2.04,1.78,0.3,12.13,0.95,0
391,2.23,2.23,2.05,1.61,11.17,2.23,3.72,11.17,2.79,99.39,3.54,0
392,1.36,1.67,2.57,1.21,7.62,1.76,2.38,6.19,2.29,58.59,5.48,0
393,1.19,0.92,0.93,0.45,5.18,0.6,1.5,7.37,2.6,64.4,2.86,1
394,1.07,1.51,1,0.54,5.66,1.68,2.3,6.23,1.87,46.74,5.19,1
395,1.3,0.92,1.04,0.46,6.23,0.55,0.85,6.96,2.91,72.71,3.74,0
396,1.58,1.1,0.78,1.08,9.61,2.4,2.7,12.01,3.6,72.07,2.82,0
397,0.84,1,0.98,0.47,3.12,0.86,1.19,4.99,1.56,13.01,3.38,1
398,1.29,1.2,1.11,0.75,6.52,0.95,3.73,2.8,0.88,32.8,1.3,0
399,1.84,0.95,1.24,0.42,4.67,0.57,1.3,7.27,2.96,77.9,3.22,0
400,0.83,1.04,1.04,0.27,5.19,0.99,2.44,5.71,1.25,33.24,3.12,0
401,1.34,1.47,1.09,1.39,9.01,2.14,2.92,14.41,3.84,69.67,3.36,1
402,1.07,1.11,0.78,1.37,8.41,2.18,2.38,14.71,3.24,71.47,3.6,1
403,0.87,1.13,0.71,1.25,8.41,2.72,2.7,15.01,3.12,69.67,3.6,1
404,1,0.92,0.78,0.62,6.22,1.24,1.73,8.31,2.08,109.06,3.32,0
405,1.94,1.48,1.62,1.76,10.13,1.77,2.83,7.68,3.35,55.87,6.98,1
406,0.8,0.72,0.52,0.63,3.62,2.84,3.62,4.61,0.95,21.71,3.62,0
407,1.11,0.92,1.05,0.52,3.12,0.97,2.42,5.71,1.87,41.55,3.38,1
408,1.19,1.97,0.92,0.87,4.93,0.71,1.32,5.19,1.25,23.37,5.97,1
409,2.01,2.23,2.36,2.55,15,3.43,3,10.5,2.5,145,2.5,0
410,1.31,0.92,1.21,0.47,4.67,0.6,1.4,7.27,2.86,71.67,3.64,0
411,1.71,1.3,1.5,0.99,12.97,1.67,2.94,3.63,0.93,18.16,2.59,0
412,0.46,0.55,0.63,0.49,4.23,0.66,1.03,3.96,0.53,12.15,0.53,0
413,1.62,1.36,1.3,0.44,6.23,1.65,2.32,5.82,1.56,41.55,8.31,1
414,1,0.92,0.78,0.62,6.22,1.24,1.76,8.31,3.53,51.93,7.79,1
415,0.98,0.88,0.6,1.25,5.47,0.77,1.09,4.27,0.55,0,0.82,0
416,0.67,0.67,0.56,0.5,3,0.67,0.81,4,0.56,24.99,1.33,0
417,1.53,1.26,0.78,0.52,6.23,1.18,1.3,2.59,0.57,12.97,1.69,0
418,1.2,0.98,0.96,1.06,6.61,1.2,1.36,13.5,3.9,96.09,3.36,0
419,1.64,1.9,2.08,0.62,6.23,1.11,2.42,6.13,1.56,35.84,5.71,1
420,0.84,0.98,0.84,0.93,6.01,1.49,1.42,13.8,2.4,48.05,3,0
421,0.72,0.28,0.51,0.25,6.5,1.08,1.54,2.35,0.18,14.44,0.72,0
422,5.01,4.69,2,2.61,14,3.1,3.5,9.5,2.5,90,3,1
423,3.51,3.5,2.18,1.72,15,2.89,3,10,1.5,48.25,3.12,0
424,0.58,1.04,1.05,0.57,6.66,0.96,1.26,4,0.67,17.77,1.56,0
425,0.73,0.83,1.14,0.35,5.19,0.99,0.78,5.71,3.12,36.35,2.08,0
426,2.77,0.92,1.69,1.2,5.19,0.71,1.35,8.31,2.49,54.27,2.8,1
427,0.97,1.43,1.76,1.2,12.46,2.7,3.16,9.37,3.43,55.05,6.13,0
428,4.1,2.76,2.07,2.57,9,2.14,4.09,10.28,2,68,4,0
429,1.02,1.14,0.82,1.16,12.01,2.08,3.36,14.41,3.3,102.88,3.72,1
430,2.42,1.82,2.23,1.49,11.17,2.08,2.49,11.17,2.79,87.11,3.16,0
431,1,0.92,0.78,0.99,6.22,1.24,1.76,8.31,2.29,138.49,3.48,0
432,1.03,3.64,1.29,0.99,4.15,1.04,1.56,10.39,1.71,46.22,2.39,0
433,2.59,3.79,1.81,1.56,15,1.79,2.5,5.82,1,20,2.75,0
434,0.44,0.5,0.67,0.32,3.55,0.52,1.07,3.55,0.71,17.77,1.11,0
435,1.68,1.16,0.87,1.21,8.41,2.08,2.77,13.75,3,64.86,3.12,0
436,8.82,4.32,1.44,1.06,10.49,1.46,1.09,4.25,0,0,3,0
437,0.93,0.8,1.01,0.49,5.19,1.45,1.48,5.19,3.01,20.77,2.49,1
438,0.45,0.42,0.27,0.24,4.17,0.98,0.9,2.63,0.15,17.77,0.15,0
439,0.99,1.51,1.04,1.32,11.43,2.9,2.98,9.24,3.53,60.24,8.31,0
440,1.23,1.28,1.58,0.42,7.01,1.32,1.64,6.23,1.25,34.07,7.79,1
441,0.48,0.64,0.19,0.32,6.12,2.68,2.1,2.14,0.29,3.82,3.82,0
442,1.79,1.91,1.34,2.08,12,2.5,2.28,6.95,1.25,37.5,2.95,0
443,1.22,1.18,2.7,1.38,11.43,1.67,1.91,6.67,2.48,59.54,11.91,1
444,2.93,3.89,2.06,1.5,12.99,3.04,4.5,9,1,32,2.75,0
445,2.56,1.97,1.49,1.89,10.5,2.54,2.49,9,2.38,43.5,3.75,0
446,1.84,2.2,1.27,1.8,12,2.57,2.76,7.5,1,20,5,0
447,2.62,3.6,2.04,1.36,11.17,3.16,5.21,12.65,2.44,81.99,2.49,0
448,0.44,0.67,0.67,0.44,5.55,0.56,0.96,4,0.93,15.55,3.33,0
449,0.97,0.93,0.48,0.88,7.81,1.51,1.83,13.75,6.01,74.47,2.16,0
450,1.04,0.92,1.04,0.38,5.19,0.55,1.25,6.96,2.86,57.39,3.12,0
451,2.46,3.63,1.58,1.9,12,2.66,3.81,7,2.62,67.5,2.5,0
452,0.95,0.83,0.97,0.31,3.32,0.77,0.83,5.03,0.66,16.57,1.53,0
453,0.62,0.67,0.63,1.15,3.08,1.35,1.93,2.05,0.2,24,1.63,0
454,1.19,1.41,0.98,0.28,5.45,1.09,1.27,5.71,1.35,38.69,5.19,0
455,1.08,0.54,1.16,0.85,3.49,1.04,1.32,4.65,0.42,21.13,0.63,0
456,1.12,1.1,2.1,1.62,9.86,1.26,1.41,5.95,2.57,97.6,5.72,1
457,1.75,1.79,1.83,1.2,10,1.71,2.45,8.25,1,20,5,0
458,3.38,3.75,0.85,0.99,4.15,1.04,1.56,10.91,1.77,31.16,2.21,0
459,1.12,0.84,1.12,0.51,16.86,1.97,3.37,2.25,0.56,33.71,1.19,0
460,1.3,1.21,1.12,0.91,14.05,1.65,2.25,3.44,0.42,8.43,1.12,0
461,0.56,0.65,0.82,0.47,4.4,0.84,1.41,2.82,0.35,10.57,2.64,1
462,0.42,0.45,0.32,0.24,4.94,0.87,0.86,2.78,0.31,15.45,0.17,1
463,0.83,0.92,1.03,0.42,4.15,0.55,1.29,7.12,2.86,62.32,3.32,0
464,0.79,1.06,1.06,0.58,5.3,0.57,0.86,3.18,0,0,0.85,0
465,2.08,0.92,0.93,0.26,4.15,0.55,1.45,6.65,2.6,52.87,3.12,0
466,1.1,1,0.84,1.5,7.21,1.97,2.25,13.21,2.4,60.06,3.12,0
467,2.26,1.82,1.04,0.96,6.23,2.34,3.98,10.39,1.82,62.32,2.75,0
468,2.49,2.33,2.42,1.92,11.17,2.52,2.75,12.47,1.86,63.28,2.74,0
469,2.08,0.92,0.93,0.4,5.18,0.55,1.45,6.96,2.91,74.79,3.22,0
470,1.14,1.15,1.34,0.64,6.23,0.56,1.55,7.27,2.54,59.41,3.58,1
471,0.46,0.37,0.14,0.15,2.32,0.43,0.45,1.24,0.05,2.47,0.14,0
472,1.27,2.08,1.95,0.49,5.19,1.9,2.34,6.13,2.08,41.55,8.31,1
473,2.05,2.09,2.26,1.55,11.56,3.42,4.42,14.02,3.37,77.41,12.06,1
474,0.98,0.49,0.7,0.72,1.5,0.91,1.57,2.5,0.6,12,1.5,0
475,0.59,0.58,0.62,0.46,6.83,0.9,1.41,2.82,0.35,8.81,2.64,0
476,0.87,0.96,0.93,0.51,5.19,0.69,1.56,8.31,2.29,65.13,4.67,1
477,1.14,0.97,0.78,0.86,4.67,0.92,1.9,5.53,1.04,23.37,4.67,0
478,0.91,1.24,1.12,0.75,4.78,1.17,2.23,5.09,2.03,36.35,3.12,1
479,1.86,1.88,1.07,1.53,9.3,2.12,2.85,14.41,3.84,104.43,3.6,1
480,2.15,2.01,1.14,0.33,6.23,1.4,1.77,5.71,1.35,31.68,4.36,0
481,0.93,0.93,0.37,0.56,3.26,1.02,2.14,1.49,0.93,40.51,2.8,0
482,2.7,2.54,2.03,1.58,10.5,2.14,2.33,7,3,70,2.5,0
483,1.3,0.92,1.07,0.46,5.19,0.56,1.33,7.27,2.91,83.1,3.64,0
484,1.68,2.08,2.38,1.9,15,1.84,3.19,10.18,2.75,100,5.25,1
485,0.7,0.75,0.95,0.6,5.03,0.65,0.97,3.18,1.06,27.81,1.06,1
486,1.35,1.71,0.86,0.5,5.17,1.8,1.82,6.75,2.49,58.48,2.8,0
487,3.66,3.7,2.79,0.68,13.74,1.78,1.98,8.98,3.38,97.75,7.4,1
488,1,0.92,0.78,0.83,6.22,1.23,1.88,8.31,2.44,166.19,5.19,0
489,0.44,0.44,0.67,0.44,6.11,0.73,1.11,4,0.8,12.22,1.56,0
490,1.06,1.14,0.73,1.19,9.61,2.88,3,14.23,3.24,71.5,3.6,1
491,2.18,3.28,1.49,1.65,13,1.79,1.75,10,1.75,100,2.73,0
492,2.91,2.51,2.74,2.35,18.1,4.19,4.36,13.07,4.52,83.44,13.57,0
493,3.2,3.84,2.23,1.13,12.91,1.52,3.25,3.68,1.13,41.35,2.26,0
494,0.87,0.67,0.59,0.41,4,0.67,0.81,4.11,0.96,24.66,1.33,0
495,2.93,2.97,2.16,2.7,17,4.29,3.33,9,2.5,30,1,1
496,0.98,0.89,0.93,0.26,3.96,0.78,1.11,4.72,0.89,25.57,1.79,0
497,1.83,2.08,1.21,0.2,7.27,2.19,1.42,10.39,1.66,38.09,2.6,0
498,0.99,1.11,0.97,0.85,4.68,1.27,0.88,2.93,1.76,17.57,2.02,0
499,0.39,0.36,0.15,0.24,3.71,0.78,1.08,2.47,0.15,5.15,0.15,0
500,0.56,0.56,0.73,0.51,5.28,0.77,1.2,4.65,0.53,42.26,0.53,0
501,1.31,1.22,0.64,0.92,10.21,1.92,1.92,14.41,3.24,85.73,4.38,0
502,0.48,0.37,0.63,0.19,6.97,1.52,1.88,1.56,0.36,16.76,1.07,1
503,2.2,1.08,0.92,1.08,6.01,2.13,2.4,13.81,3.36,75.2,3.6,0
504,3.49,4.08,2.59,2.43,13.4,3.1,3.83,14.89,2.14,51.37,2.38,1
505,0.84,0.98,0.77,1.05,7.21,1.86,1.8,13.81,4.68,60.06,2.64,0
506,0.46,0.35,0.75,0.5,5.19,1.07,1.32,4.31,1.04,29.08,0.78,0
507,1,0.92,0.78,0.57,4.15,0.65,0.99,8.31,8.31,41.55,8.57,0
508,2.01,1.72,2.01,1.59,10.06,4.36,4.34,14.75,2.01,53.65,2.35,0
509,1.3,1.2,1.89,0.96,11.65,3.19,2.81,10.2,1.75,42.24,5.24,1
510,0.54,0.42,0.28,0.24,5.1,0.98,0.9,2.72,0.22,9.4,0.17,1
511,5.71,5.79,2.29,1.93,12.5,2.86,2.62,6.89,1.8,48,2,0
512,0.38,0.68,0.85,0.43,3.52,0.77,0.85,1.92,0.41,5.41,1.76,0
513,1.56,1.73,1.04,0.29,4.15,2.29,3.04,6.23,1.56,36.35,4.52,0
514,0.32,0.23,0.51,0.18,5.1,1.61,1.94,1.5,0.38,20.08,0.54,0
515,2.42,2.34,1.97,1.9,11.17,2.32,2.42,11.17,2.42,67.01,2.98,0
516,0.93,0.92,0.87,0.4,3.9,0.55,1.56,5.19,2.86,93.48,3.74,0
517,1.97,1.09,0.95,1.01,5.19,1.45,1,5.19,1.45,35.11,4.15,1
518,0.45,0.38,0.64,0.2,5.1,1.34,1.61,1.5,0.24,16.09,0.43,0
519,0.89,0.64,1.15,0.7,8.19,1.01,2.36,3.11,0.74,49.13,2.87,0
520,0.34,0.41,0.54,0.44,4.87,0.81,0.81,1.89,0.19,9.2,1.22,0
521,0.99,0.84,0.76,1.02,10.21,2.55,2.6,15.35,3,75.67,4.8,1
522,1,0.92,0.78,0.62,6.22,1.24,1.82,8.31,2.6,54.01,3.12,1
523,1.65,1.66,3.04,0.48,10.56,2.8,2.96,22.99,2.49,93.2,2.17,0
524,3,2.4,1.42,2.4,7.21,2.1,2.46,14.41,3.54,75.1,3.36,1
525,0.72,1.08,0.88,0.92,8.41,2,1.92,13.51,3.6,81.68,2.58,0
526,1,1.51,0.99,0.88,4.15,0.55,1.29,7.27,2.8,93.48,2.91,0
527,0.53,0.4,0.64,0.25,5.1,1.99,1.94,1.5,0.24,5.36,0.32,1
528,2.25,1.73,1.38,0.36,6.23,1.97,2.77,6.02,1.56,57.13,15.58,0
529,1.09,0.96,1.56,0.73,5.18,0.55,1.38,6.96,2.91,64.92,3.64,0
530,0.63,0.61,0.58,0.51,6.34,0.66,1.13,4.23,0.53,19.02,0.57,0
531,1.04,0.93,1.25,0.55,4.14,1.89,1.5,10.39,2.02,78.11,2.7,0
532,1.88,1.05,0.97,0.67,7.27,1.53,2.45,7.53,2.6,38.09,5.19,1
533,1.66,1.09,0.88,0.66,5.3,2.03,1.87,4,0.52,28.04,3.32,0
534,1.38,1.14,1.58,0.56,6.23,1.06,1.77,5.71,2.29,44.66,3.74,1
535,2.44,3.1,1.76,2.33,12.5,3.16,3.43,11.5,2.75,80,2.6,0
536,0.53,0.88,0.61,0.88,2.65,0.85,1.42,3.19,0.8,21.24,0.53,0
537,1.38,1.73,2.15,0.57,6.23,1.65,1.58,5.56,1.45,36.35,5.19,1
538,1.56,1.3,1.14,0.39,4.1,1.25,1.56,6.23,1.56,38.43,8.31,0
539,1.69,1.19,1.03,0.72,5.19,0.55,1.55,6.96,2.55,67.52,3.01,0
540,3.12,1.87,1.42,2,10,2.77,3.61,6.5,1,30,6,0
541,1.87,0.8,1.17,1.04,8,4.46,3.45,9.88,1.5,35,4.25,0
542,3.22,3.24,1.54,1.85,14,2.37,1.97,7.85,0.75,25,4.5,0
543,5.31,3.68,1.24,2.44,12.64,2.42,4,7.6,2.14,56.2,3,0
544,1.54,2.06,1.79,2,15,2.26,2.45,6,1.5,25,2.5,0
545,2.04,2.21,1.75,1.67,14.89,2.8,3.82,11.43,1.86,43.74,2.68,1
546,2.14,1.53,2.64,1.3,11.71,2.8,3.73,24.7,1.74,27.96,2.02,1
547,0.62,0.83,0.99,0.62,3.12,0.74,0.78,5.19,1.04,28.56,2.08,0
548,0.73,0.79,0.79,0.51,3.96,0.92,1.58,1.48,0.32,13.85,0.67,0
549,2.3,2.78,2.19,1.37,11.91,2.23,2.26,12.66,1.49,40.2,2.79,1
550,1.41,1.12,1.3,0.62,5.19,1.36,1.78,4.62,2.08,30.12,1.04,1
551,0.75,0.61,1.04,0.38,5.96,0.84,1.49,2.71,0.14,0.81,0.22,0
552,1.58,2,0.8,1.54,9.61,3.08,1.92,14.41,3.6,90.01,3.36,1
553,0.93,0.68,0.83,0.52,4.93,0.71,1.32,5.19,1.04,31.16,4.67,0
554,1.41,1.37,1.67,1.7,11.65,2.84,3.42,10.78,1.78,65.54,4.66,1
555,0.95,0.8,0.73,0.29,2.56,0.76,1.27,5.11,0.84,19.18,1.28,1
556,1.58,0.99,0.81,1,6.38,1.25,2.06,3.44,1.28,29.89,3.51,0
557,1.37,1.1,1.01,1.38,9.61,2.1,2.7,14.41,3.72,118.92,3.36,0
558,0.7,0.52,1.8,0.7,8.31,1.41,1.94,4.8,1.04,23.37,2.6,1
559,0.42,0.45,0.32,0.23,3.09,0.67,0.74,2.78,0.21,7.72,0.15,0
560,0.77,0.73,0.59,0.63,7.5,1.16,1.77,2.06,0.25,15.01,0.75,0
561,2.49,1.44,3.64,0.82,13.61,7.67,15.67,6.27,4.33,143.52,4.77,1
562,0.47,0.55,0.76,0.57,4.23,0.66,1.03,4.44,0.53,16.9,1.06,1
563,1,0.92,0.78,0.62,6.22,1.24,1.76,8.31,2.6,95.56,7.79,0
564,1.04,0.97,0.5,0.7,8.41,1.98,2.16,12.61,4.2,30.03,3.12,0
565,0.84,1.2,0.78,0.8,7.81,2,2,12.61,2.76,67.27,4.44,0
566,0.88,1.08,1.28,1.08,9.61,2.03,3,15.62,3.6,54.65,3.72,1
567,0.83,1.09,0.93,0.52,4.15,0.78,3.64,4.99,2.08,41.55,3.64,0
568,1.38,1.24,1.79,1.36,8.1,2.02,2.07,6.62,2.86,80.5,9.53,1
569,1.24,1.55,1.86,1.14,8.48,1.72,1.98,5.72,3.19,39.06,5.48,0
570,1.37,1.45,0.73,0.62,3.12,1.04,2.34,10.39,1.77,31.16,2.49,0
571,0.68,0.81,1.38,0.47,3.64,0.77,0.75,3.64,0.52,20.67,1.56,1
572,1.9,0.86,0.93,0.65,5.19,2,0.96,7.32,2.6,50.9,6.75,0
573,2.72,2.42,1.79,1.99,10,2.56,2.95,11,1.75,100,3.5,0
574,0.31,0.35,0.13,0.31,1.42,0.44,0.85,2.74,0.62,28.32,1.06,0
575,2.32,2.6,1.3,0.59,6.75,1.04,1.87,6.23,1.66,31.16,8.31,0
576,0.58,0.92,0.97,0.45,5.04,0.74,1.46,3.19,0.53,21.24,0.8,0
577,0.75,0.78,0.97,0.77,4.67,1.66,3.9,4.78,1.35,51.93,3.32,1
578,0.97,1.03,0.83,0.7,4.15,1,1.72,5.19,1.12,31.16,2.6,0
579,0.74,0.92,1.19,0.63,2.65,0.8,1.33,3.19,0.58,12.74,0.8,0
580,0.82,0.93,1.33,0.49,21.97,2.34,4.12,6.32,0.55,54.93,2.2,0
581,0.27,0.22,0.49,0.32,2.16,0.61,0.95,2.16,0.16,6.76,0.95,0
582,1.8,2.1,1.5,1.5,12,2.43,2.5,7.5,4,100,3.2,0
583,1.33,1.39,1.24,0.73,3.64,1.22,1.36,5.19,1.56,51.93,5.19,0
584,1.28,1.1,0.78,1.74,9.61,3.4,3.6,12.01,1.68,96.09,3.6,0
585,0.39,0.27,0.53,0.22,5.9,1.33,1.33,1.5,0.36,24.14,0.54,1
586,2.6,1.08,0.96,1.32,9.61,2.16,3,15.32,3.72,96.62,3.6,0
587,1.96,2.03,1.08,1.59,7.64,2,2.46,4.58,1.27,45.83,1.53,0
588,1.85,2.59,2.31,1.46,9,2.12,2.25,7.25,2.2,88,2.17,0
589,0.66,0.47,0.31,0.58,4.42,1.33,0.88,3.32,0.53,18.58,1.15,0
590,1.84,1.9,1.77,0.74,6.75,1.81,2.86,6.23,1.56,33.5,6.75,1
591,0.49,0.53,0.42,0.53,3.17,0.77,0.85,4.65,0.53,16.37,0.48,0
592,1.04,1.56,2.07,2,10.39,2.6,2.08,9.37,3.64,45.7,6.13,0
593,1.12,1.1,1.31,1,3.12,0.47,1.09,5.4,1.45,33.24,3.69,0
